winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price
Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,472.5
Terra Remota,Usted,2010,4.7,31,Espana,Emporda,Red,4,3,379
Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,185.15
Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,94.2
Miguel Merino,La Loma,2018,4.7,29,Espana,Rioja Alta,Rioja Red,4,3,46
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Espana,Priorato,Priorat Red,4,3,919.6
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Espana,Alicante,NA,NA,NA,81.9
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Espana,Rioja,Rioja Red,4,3,680
Vega Sicilia,Valbuena 5o,2011,4.6,6803,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,218
Vega Sicilia,Valbuena 5o,2012,4.6,5938,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,177
Vega Sicilia,Valbuena 5o,2008,4.6,5545,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,187.3
Vega Sicilia,Valbuena 5o,2007,4.6,5116,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,195.59
Vega Sicilia,Valbuena 5o,2013,4.6,4747,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,135
Vega Sicilia,Valbuena 5o,2009,4.6,4685,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,225.2
Alion,Ribera del Duero,2016,4.6,4516,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,79.8
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,116.1879436
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,89.3
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Espana,Rioja,Rioja Red,4,3,438.9
Alion,Ribera del Duero,2017,4.6,2208,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,79.9
Vega Sicilia,Valbuena 5o,2004,4.6,1608,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,249
Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,129.95
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,76.95
Vega Sicilia,Valbuena 5o,2000,4.6,1015,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,252
Vega Sicilia,Valbuena 5o,2002,4.6,936,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,232
Bodega Numanthia,Termanthia,2012,4.6,840,Espana,Toro,Toro Red,5,3,214
Bodega Numanthia,Termanthia,2011,4.6,790,Espana,Toro,Toro Red,5,3,205
Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,49.95
Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,125
Vega Sicilia,Valbuena 5o,1999,4.6,595,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,276.8
Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,75
Dominio de Pingus,Pingus,2010,4.6,410,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1359.75
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,81.5
Dominio de Pingus,Pingus,2012,4.6,400,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,890
Dominio del Bendito,El Titan del Bendito,2015,4.6,388,Espana,Toro,Toro Red,5,3,43.5
Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,99
Dominio de Pingus,Pingus,2013,4.6,323,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1198.72
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313,Espana,Castilla y Leon,Tempranillo,4,2,94.95
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304,Espana,Castilla y Leon,Tempranillo,4,2,89
Dominio de Pingus,Pingus,2005,4.6,293,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1785.96
Vinedos de Paganos,La Nieta,2017,4.6,286,Espana,Rioja,Rioja Red,4,3,108.21
Artadi,Vina El Pison,2006,4.6,274,Espana,Vino de Espana,Tempranillo,4,2,391.5
Dominio de Pingus,Pingus,1998,4.6,244,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1350
Bodegas Roda,Cirsion Rioja,2007,4.6,242,Espana,Rioja,Rioja Red,4,3,145
Bodegas Roda,Cirsion Rioja,2012,4.6,231,Espana,Rioja,Rioja Red,4,3,173.38
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225,Espana,Rioja,Rioja Red,4,3,220
Marques de Murrieta,Dalmau Rioja,2017,4.6,222,Espana,Rioja,Rioja Red,4,3,85.7
Vega Sicilia,Unico,1965,4.6,218,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,2884.04
Sierra Cantabria,Finca el Bosque,2015,4.6,214,Espana,Rioja,Rioja Red,4,3,79.9
Vina Sastre,Pago de Santa Cruz,2018,4.6,211,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,68.7
Dominio de Pingus,Pingus,2003,4.6,205,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1638.95
Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202,Espana,Priorato,Priorat Red,4,3,150
Carmelo Rodero,Pago De Valtarrena,2016,4.6,200,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,48.95
Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,109.41
Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,119
Vega Sicilia,Valbuena 5o,1992,4.6,176,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,195
Dominio de Pingus,Pingus,2014,4.6,172,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1595
Artadi,Vina El Pison,2010,4.6,169,Espana,Vino de Espana,Tempranillo,4,2,519.55
Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,165,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,89
Artadi,Vina El Pison,2011,4.6,165,Espana,Vino de Espana,Tempranillo,4,2,511.9
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,164,Espana,Priorato,Priorat Red,4,3,980
Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,160,Espana,Jumilla,Red,4,3,73
Artadi,Vina El Pison,2012,4.6,159,Espana,Vino de Espana,Tempranillo,4,2,280
Vega Sicilia,Unico,1973,4.6,157,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,932.3
Bodega Contador (Benjamin Romeo),Contador Rioja,2014,4.6,157,Espana,Rioja,Rioja Red,4,3,251.99
Bodegas San Roman,Cartago Paraje de Pozo,2014,4.6,153,Espana,Toro,Toro Red,5,3,61.69
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,4.6,150,Espana,Priorato,Priorat Red,4,3,1372.14
Bodega Numanthia,Termanthia,2014,4.6,147,Espana,Toro,Toro Red,5,3,210.5
Vega Sicilia,Valbuena 5o,1985,4.6,146,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,285
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2001,4.6,145,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,245.75
Vega Sicilia,Valbuena 5o,1989,4.6,143,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,228.57
Bodega Contador (Benjamin Romeo),Contador Rioja,2015,4.6,143,Espana,Rioja,Rioja Red,4,3,319.9
Artadi,Vina El Pison,2005,4.6,142,Espana,Vino de Espana,Tempranillo,4,2,325
Nin-Ortiz,Nit de Nin Mas d'en Cacador,2011,4.6,139,Espana,Priorato,Priorat Red,4,3,345
Bodegas Mauro,VS,2018,4.6,136,Espana,Castilla y Leon,Tempranillo,4,2,58.9
Remirez de Ganuza,Maria Remirez de Ganuza,2005,4.6,136,Espana,Rioja,Rioja Red,4,3,159
Vinas del Vero,Blecua Somontano,2013,4.6,135,Espana,Somontano,Red,4,3,69.9
Vega Sicilia,Unico Reserva Especial Edicion,1989,4.6,133,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,895.4
Teso La Monja,Alabaster,2017,4.6,131,Espana,Toro,Toro Red,5,3,147.85
Bodegas Mauro,Terreus Paraje de Cueva Baja,2018,4.6,128,Espana,Castilla y Leon,Tempranillo,4,2,88.05
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1997,4.6,127,Espana,Priorato,Priorat Red,4,3,1080
Marques de Riscal,Frank Gehry Selection,2001,4.6,124,Espana,Rioja,Tempranillo,4,2,301
Artadi,Vina El Pison,2014,4.6,124,Espana,Vino de Espana,Tempranillo,4,2,275
Vega Sicilia,Unico,1967,4.6,123,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1106.24
Arzuaga,Amaya Arzuaga (Coleccion),2016,4.6,123,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,64.9
Dominio de Pingus,Pingus,2000,4.6,122,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,1503
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1995,4.6,122,Espana,Priorato,Priorat Red,4,3,1372.14
Artadi,Vina El Pison,2015,4.6,122,Espana,Vino de Espana,Tempranillo,4,2,241.55
Bodegas Mas Alta,La Creu Alta,2013,4.6,116,Espana,Priorato,Priorat Red,4,3,89.17
Vega Sicilia,Unico,1975,4.6,115,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,769.9
Dominio de Calogia,Tinto,2019,4.6,114,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,67.94
Tomas Postigo,5o Ano Ribera del Duero Tinto,2016,4.6,113,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,44
Artadi,Vina El Pison,2009,4.6,113,Espana,Vino de Espana,Tempranillo,4,2,445
Cal Pla,Planots Priorat,2010,4.6,112,Espana,Priorato,Priorat Red,4,3,87.02
Vega Sicilia,Unico Reserva Especial Edicion,2009,4.6,111,Espana,Ribera del Duero,Ribera Del Duero Red,5,3,747.17
